# RaceVideoToLog v2.7.2
# video_hash=da1e455f100f50a2, video=test5.mp4, fps=59.767, codec=h264
# roi=843,993,948,1025, format=km/h, frame_start=362, frame_end=7585
# max_speed=400.0, max_accel=40.0, div=1, target_h=48, max_width=0, pad=0, buffer=16
# backend=CPU, model=v6_small, video_backend=decord/GPU
# stats: total=7223, trusted=5949, corrected=670
# timing: ocr=32.2s, decode=13.7s, inference=31.6s, correction=12.4s
659,394.25,240,21
660,395.37,239,21
661,396.48,239,21
662,397.58,238,21
663,398.69,238,21
664,399.79,237,21
665,400.90,237,21
666,401.99,235,21
667,403.08,234,21
668,404.17,234,21
669,405.26,233,21
670,406.34,233,21
671,407.42,231,21
672,408.49,231,21
673,409.56,229,21
674,410.62,229,21
675,411.68,227,21
676,412.74,226,21
677,413.79,226,21
678,414.83,224,21
679,415.87,224,21
680,416.91,222,21
681,417.94,222,21
682,418.97,221,21
683,420.00,221,21
684,421.02,219,21
685,422.04,218,21
686,423.05,218,21
687,424.06,216,21
688,425.06,216,21
689,426.06,215,21
690,427.06,215,21
691,428.06,213,21
692,429.05,213,21
693,430.03,212,21
694,431.02,210,21
695,431.99,210,21
696,432.96,209,21
697,433.94,209,21
698,434.91,208,21
699,435.87,208,21
700,436.84,207,21
701,437.80,207,21
702,438.76,205,21
703,439.70,203,21
704,440.65,203,21
705,441.59,202,21
706,442.53,202,21
707,443.46,200,21
708,444.39,200,21
709,445.32,199,21
710,446.24,199,21
711,447.17,198,21
712,448.08,196,21
713,448.99,196,21
714,449.90,195,21
715,450.81,195,21
716,451.71,194,21
717,452.61,194,21
718,453.51,193,21
719,454.41,193,21
720,455.30,191,21
721,456.19,190,21
722,457.07,190,21
723,457.95,189,21
724,458.83,189,21
725,459.70,188,21
726,460.58,188,21
727,461.45,187,21
728,462.32,187,21
729,463.19,186,21
730,464.05,184,0
731,464.90,184,0
732,465.75,183,0
733,466.60,183,0
734,467.45,182,0
735,468.30,182,12
736,469.14,182,11
737,470.01,189,11
738,470.86,180,12
739,471.70,180,0
740,472.54,180,0
741,473.37,179,0
742,474.20,179,0
743,475.03,178,0
744,475.86,178,0
745,476.69,177,21
746,477.51,177,21
747,478.33,176,21
748,479.14,175,21
749,479.96,175,21
750,480.77,175,21
751,481.58,175,21
752,482.39,174,21
753,483.20,174,21
754,484.01,173,21
755,484.81,173,21
756,485.62,172,21
757,486.41,171,21
758,487.21,171,21
759,488.00,170,21
760,488.79,170,21
761,489.58,169,21
762,490.36,169,21
763,491.15,168,21
764,491.93,168,21
765,492.71,167,21
766,493.48,165,21
767,494.24,165,21
768,495.01,164,21
769,495.77,164,21
770,496.53,163,21
771,497.29,163,21
772,498.04,162,21
773,498.80,162,21
774,499.55,161,21
775,500.29,160,21
776,501.04,160,21
777,501.78,160,21
778,502.52,160,21
779,503.26,159,21
780,504.00,159,21
781,504.74,158,21
782,505.47,158,21
783,506.21,157,21
784,506.94,157,21
785,507.67,157,21
786,508.39,156,21
787,509.12,156,21
788,509.84,155,21
789,510.56,155,21
790,511.28,155,21
791,512.00,155,21
792,512.72,154,21
793,513.43,153,21
794,514.15,153,21
795,514.86,153,21
796,515.57,153,21
797,516.28,152,21
798,516.98,152,21
799,517.69,151,21
800,518.39,151,21
801,519.09,151,21
802,519.79,150,21
803,520.49,150,21
804,521.18,149,21
805,521.87,149,21
806,522.56,148,21
807,523.25,148,21
808,523.94,147,21
809,524.62,147,21
810,525.30,146,21
811,525.98,145,21
812,526.65,145,21
813,527.32,144,21
814,527.99,144,21
815,528.66,143,21
816,529.32,143,21
817,529.98,141,21
818,530.64,141,21
819,531.29,140,21
820,531.94,139,21
821,532.59,139,21
822,533.23,138,21
823,533.87,138,21
824,534.51,137,21
825,535.15,137,21
826,535.78,136,21
827,536.41,136,21
828,537.04,135,21
829,537.67,134,21
830,538.29,134,21
831,538.91,133,21
832,539.53,133,21
833,540.15,132,21
834,540.76,132,21
835,541.37,132,21
836,541.99,132,21
837,542.60,131,21
838,543.21,131,21
839,543.82,131,21
840,544.42,131,21
841,545.03,131,21
842,545.64,130,21
843,546.24,130,21
844,546.85,130,21
845,547.45,130,21
846,548.05,129,21
847,548.65,129,21
848,549.25,129,21
849,549.85,129,21
850,550.45,129,21
851,551.05,128,21
852,551.64,128,21
853,552.24,128,21
854,552.83,128,21
855,553.43,128,21
856,554.02,128,21
857,554.62,128,21
858,555.21,128,21
859,555.81,128,21
860,556.40,128,21
861,557.00,128,21
862,557.59,128,21
863,558.19,128,21
864,558.78,128,21
865,559.38,128,21
866,559.97,128,21
867,560.57,128,21
868,561.16,128,21
869,561.76,128,21
870,562.35,128,21
871,562.95,128,21
872,563.54,128,21
873,564.14,128,21
874,564.73,128,21
875,565.33,128,21
876,565.92,128,21
877,566.52,128,21
878,567.11,128,21
879,567.71,128,21
880,568.30,128,21
881,568.90,128,21
882,569.49,128,21
883,570.09,128,21
884,570.68,128,21
885,571.28,129,21
886,571.88,129,21
887,572.48,129,21
888,573.08,129,21
889,573.68,129,21
890,574.28,129,21
891,574.88,129,21
892,575.48,129,21
893,576.07,129,21
894,576.67,129,21
895,577.28,130,21
896,577.88,130,21
897,578.48,130,21
898,579.09,130,21
899,579.69,130,21
900,580.30,130,21
901,580.90,130,21
902,581.51,130,21
903,582.11,130,21
904,582.72,131,21
905,583.33,131,21
906,583.93,131,21
907,584.54,131,21
908,585.15,131,21
909,585.76,131,21
910,586.37,131,21
911,586.98,131,21
912,587.59,131,21
913,588.20,132,21
914,588.81,132,21
915,589.43,132,21
916,590.04,132,21
917,590.65,132,21
918,591.27,132,21
919,591.88,132,21
920,592.49,131,21
921,593.10,131,21
922,593.71,131,21
923,594.32,131,21
924,594.92,130,21
925,595.53,130,21
926,596.13,130,21
927,596.73,129,21
928,597.33,129,21
929,597.93,129,21
930,598.53,129,21
931,599.13,128,21
932,599.72,128,21
933,600.32,128,21
934,600.91,128,21
935,601.51,127,21
936,602.10,127,21
937,602.69,127,21
938,603.28,127,21
939,603.87,127,21
940,604.46,127,21
941,605.05,127,21
942,605.64,127,21
943,606.23,127,21
944,606.82,126,21
945,607.40,126,21
946,607.99,126,21
947,608.57,126,21
948,609.16,126,21
949,609.74,126,21
950,610.33,126,21
951,610.92,126,21
952,611.50,126,21
953,612.09,126,21
954,612.67,126,21
955,613.26,126,21
956,613.84,126,21
957,614.43,126,21
958,615.01,125,21
959,615.59,125,21
960,616.17,125,21
961,616.76,125,21
962,617.33,124,21
963,617.91,124,21
964,618.49,124,21
965,619.06,123,21
966,619.63,123,21
967,620.20,123,21
968,620.78,123,21
969,621.35,122,21
970,621.91,122,21
971,622.48,122,21
972,623.05,122,21
973,623.61,122,21
974,624.18,121,21
975,624.74,121,21
976,625.30,121,21
977,625.87,121,21
978,626.43,120,21
979,626.98,120,21
980,627.54,120,0
981,628.10,119,0
982,628.65,119,12
983,629.20,117,11
984,629.74,117,11
985,630.29,118,11
986,630.83,117,11
987,631.38,117,21
988,631.92,117,21
989,632.46,117,21
990,633.01,116,21
991,633.55,116,21
992,634.08,116,21
993,634.62,116,21
994,635.16,115,21
995,635.69,115,21
996,636.23,115,21
997,636.76,115,21
998,637.30,114,21
999,637.83,114,21
1000,638.36,114,21
1001,638.88,113,21
1002,639.41,113,21
1003,639.93,112,21
1004,640.45,112,21
1005,640.97,112,21
1006,641.49,112,21
1007,642.01,111,21
1008,642.52,110,21
1009,643.04,110,21
1010,643.55,110,21
1011,644.06,110,21
1012,644.57,110,21
1013,645.08,110,21
1014,645.59,109,21
1015,646.10,109,21
1016,646.60,109,21
1017,647.11,108,21
1018,647.61,108,21
1019,648.11,108,21
1020,648.61,108,21
1021,649.11,108,21
1022,649.62,108,21
1023,650.12,107,21
1024,650.61,107,21
1025,651.11,107,21
1026,651.61,107,21
1027,652.11,107,21
1028,652.60,106,21
1029,653.09,106,21
1030,653.59,106,21
1031,654.08,106,21
1032,654.57,105,21
1033,655.06,105,21
1034,655.54,105,21
1035,656.03,105,21
1036,656.52,105,21
1037,657.01,105,21
1038,657.50,105,21
1039,657.98,105,21
1040,658.47,105,21
1041,658.96,105,21
1042,659.45,105,21
1043,659.94,105,21
1044,660.42,105,21
1045,660.91,105,21
1046,661.40,105,21
1047,661.89,105,21
1048,662.38,105,21
1049,662.86,105,21
1050,663.35,104,21
1051,663.83,104,21
1052,664.32,104,21
1053,664.80,104,21
1054,665.28,104,21
1055,665.77,104,21
1056,666.25,104,21
1057,666.73,104,21
1058,667.22,104,21
1059,667.70,104,21
1060,668.18,104,21
1061,668.67,105,21
1062,669.16,105,21
1063,669.65,105,21
1064,670.13,105,21
1065,670.62,105,21
1066,671.11,106,21
1067,671.60,106,21
1068,672.10,106,21
1069,672.59,106,21
1070,673.09,107,21
1071,673.58,107,21
1072,674.08,107,21
1073,674.58,107,21
1074,675.07,107,21
1075,675.57,108,21
1076,676.08,108,21
1077,676.58,108,21
1078,677.08,108,21
1079,677.58,108,21
1080,678.09,109,21
1081,678.59,109,21
1082,679.10,109,21
1083,679.61,109,21
1084,680.11,109,21
1085,680.62,109,21
1086,681.13,110,21
1087,681.64,110,21
1088,682.15,110,21
1089,682.66,110,21
1090,683.17,110,21
1091,683.69,111,21
1092,684.20,111,21
1093,684.72,111,21
1094,685.23,111,21
1095,685.75,112,21
1096,686.27,112,21
1097,686.79,112,21
1098,687.32,113,21
1099,687.84,113,21
1100,688.37,113,21
1101,688.89,113,21
1102,689.42,113,21
1103,689.94,113,21
1104,690.47,114,21
1105,691.00,114,21
1106,691.53,114,21
1107,692.06,115,21
1108,692.60,115,21
1109,693.13,115,21
1110,693.66,115,21
1111,694.20,116,21
1112,694.74,116,21
1113,695.28,116,21
1114,695.82,116,21
1115,696.36,116,21
1116,696.89,115,21
1117,697.43,115,21
1118,697.96,114,21
1119,698.49,114,21
1120,699.02,113,21
1121,699.54,113,21
1122,700.06,111,21
1123,700.58,111,21
1124,701.09,110,21
1125,701.60,108,21
1126,702.10,108,21
1127,702.60,107,21
1128,703.10,107,21
1129,703.59,106,21
1130,704.09,106,21
1131,704.58,105,21
1132,705.07,105,21
1133,705.55,104,21
1134,706.03,103,21
1135,706.51,103,21
1136,706.98,101,21
1137,707.45,101,21
1138,707.92,100,21
1139,708.39,100,21
1140,708.85,99,21
1141,709.31,99,21
1142,709.76,97,21
1143,710.21,96,21
1144,710.66,96,21
1145,711.10,95,21
1146,711.54,95,21
1147,711.98,94,21
1148,712.42,94,21
1149,712.85,93,21
1150,713.29,93,21
1151,713.72,92,0
1152,714.14,91,0
1153,714.57,91,0
1154,714.99,90,0
1155,715.40,89,0
1156,715.82,89,12
1157,716.23,90,11
1158,716.66,96,11
1159,717.09,87,12
1160,717.49,87,0
1161,717.90,87,0
1162,718.30,86,0
1163,718.70,86,0
1164,719.10,86,0
1165,719.50,86,0
1166,719.90,85,21
1167,720.29,85,21
1168,720.69,85,21
1169,721.08,85,21
1170,721.48,85,21
1171,721.87,84,21
1172,722.26,84,21
1173,722.65,84,21
1174,723.04,84,21
1175,723.43,84,21
1176,723.82,84,21
1177,724.21,83,21
1178,724.59,83,0
1179,724.98,83,0
1180,725.36,82,0
1181,725.75,82,12
1182,726.13,82,12
1183,726.51,82,12
1184,726.89,82,12
1185,727.27,82,11
1186,727.65,82,11
1187,728.03,82,12
1188,728.41,82,12
1189,728.79,81,12
1190,729.19,92,12
1191,729.62,91,12
1192,730.02,80,12
1193,730.39,80,12
1194,730.76,80,12
1195,731.13,80,12
1196,731.50,80,0
1197,731.88,80,0
1198,732.25,80,0
1199,732.62,80,0
1200,732.99,80,21
1201,733.36,80,21
1202,733.73,80,21
1203,734.11,80,21
1204,734.48,80,21
1205,734.85,80,21
1206,735.22,80,21
1207,735.59,80,21
1208,735.97,80,21
1209,736.34,80,21
1210,736.71,80,21
1211,737.08,80,21
1212,737.45,80,21
1213,737.82,80,21
1214,738.20,80,21
1215,738.57,80,21
1216,738.94,80,21
1217,739.31,80,21
1218,739.68,80,21
1219,740.06,80,21
1220,740.43,80,21
1221,740.80,80,21
1222,741.17,79,21
1223,741.54,79,21
1224,741.90,79,21
1225,742.27,79,21
1226,742.64,79,21
1227,743.00,79,21
1228,743.37,79,21
1229,743.74,79,21
1230,744.11,79,21
1231,744.47,79,0
1232,744.84,79,0
1233,745.21,79,0
1234,745.57,79,0
1235,745.94,79,12
1236,746.31,79,12
1237,746.68,79,12
1238,747.04,79,12
1239,747.41,78,12
1240,747.77,77,12
1241,748.13,78,12
1242,748.49,78,12
1243,748.85,78,12
1244,749.22,78,12
1245,749.58,78,12
1246,749.94,78,12
1247,750.30,78,12
1248,750.67,78,12
1249,751.03,78,12
1250,751.39,78,12
1251,751.75,77,12
1252,752.11,77,12
1253,752.47,77,12
1254,752.82,77,12
1255,753.18,77,0
1256,753.54,77,0
1257,753.90,77,0
1258,754.26,77,0
1259,754.61,77,21
1260,754.97,77,21
1261,755.33,77,21
1262,755.69,76,21
1263,756.04,76,21
1264,756.39,76,21
1265,756.74,76,21
1266,757.10,76,21
1267,757.45,76,21
1268,757.80,76,21
1269,758.16,76,21
1270,758.51,76,21
1271,758.86,76,21
1272,759.22,76,21
1273,759.57,76,21
1274,759.92,76,21
1275,760.28,76,21
1276,760.63,76,21
1277,760.98,76,21
1278,761.33,75,21
1279,761.68,75,21
1280,762.03,75,21
1281,762.38,75,21
1282,762.73,75,21
1283,763.08,75,21
1284,763.43,75,21
1285,763.77,74,21
1286,764.12,74,21
1287,764.46,74,21
1288,764.80,74,21
1289,765.15,73,21
1290,765.48,73,21
1291,765.82,73,21
1292,766.16,73,21
1293,766.50,73,21
1294,766.84,73,21
1295,767.18,73,21
1296,767.52,72,21
1297,767.85,72,21
1298,768.19,72,21
1299,768.52,72,21
1300,768.86,72,21
1301,769.19,72,21
1302,769.52,71,21
1303,769.85,71,21
1304,770.18,71,21
1305,770.51,71,21
1306,770.84,71,21
1307,771.17,70,21
1308,771.50,70,21
1309,771.82,70,21
1310,772.15,70,21
1311,772.47,70,21
1312,772.80,70,21
1313,773.12,70,21
1314,773.45,70,21
1315,773.77,70,21
1316,774.10,70,21
1317,774.42,70,21
1318,774.75,71,21
1319,775.08,71,21
1320,775.41,71,21
1321,775.74,70,21
1322,776.07,70,21
1323,776.39,70,21
1324,776.72,70,21
1325,777.04,70,21
1326,777.37,70,0
1327,777.69,70,0
1328,778.02,70,0
1329,778.34,69,0
1330,778.66,69,0
1331,778.98,69,0
1332,779.30,69,0
1333,779.62,69,12
1334,779.94,68,12
1335,780.28,76,12
1336,780.61,68,12
1337,780.94,74,12
1338,781.28,72,12
1339,781.60,67,12
1340,781.91,67,0
1341,782.23,67,0
1342,782.54,67,0
1343,782.85,67,0
1344,783.16,67,0
1345,783.47,67,0
1346,783.78,67,0
1347,784.09,66,21
1348,784.40,66,21
1349,784.71,66,21
1350,785.01,66,21
1351,785.32,66,21
1352,785.63,66,21
1353,785.93,66,21
1354,786.24,65,21
1355,786.54,65,21
1356,786.84,66,21
1357,787.15,66,21
1358,787.46,66,21
1359,787.76,66,21
1360,788.07,66,21
1361,788.38,66,21
1362,788.68,66,0
1363,788.99,66,0
1364,789.30,66,0
1365,789.61,67,0
1366,789.92,67,0
1367,790.23,67,0
1368,790.54,67,0
1369,790.85,67,12
1370,791.17,68,11
1371,791.48,68,11
1372,791.80,68,11
1373,792.12,69,11
1374,792.44,69,12
1375,792.76,69,0
1376,793.08,69,0
1377,793.40,70,0
1378,793.73,70,0
1379,794.05,70,21
1380,794.38,70,21
1381,794.70,71,21
1382,795.03,71,21
1383,795.36,71,21
1384,795.70,72,21
1385,796.03,72,21
1386,796.37,73,21
1387,796.71,73,21
1388,797.05,73,21
1389,797.39,73,21
1390,797.73,74,21
1391,798.07,74,21
1392,798.42,74,21
1393,798.76,75,0
1394,799.11,75,0
1395,799.46,76,0
1396,799.81,76,0
1397,800.17,76,0
1398,800.52,76,0
1399,800.88,77,0
1400,801.23,77,12
1401,801.59,78,11
1402,801.96,79,11
1403,802.33,79,11
1404,802.69,79,12
1405,803.06,79,12
1406,803.43,80,12
1407,803.80,80,12
1408,804.18,82,11
1409,804.55,76,11
1410,804.90,76,11
1411,805.27,82,12
1412,805.65,82,12
1413,806.02,80,11
1414,806.38,73,11
1415,806.74,82,12
1416,807.13,84,12
1417,807.52,84,12
1418,807.91,84,12
1419,808.30,85,12
1420,808.70,86,12
1421,809.10,86,12
1422,809.50,89,11
1423,809.92,89,11
1424,810.33,90,11
1425,810.74,86,11
1426,811.15,89,12
1427,811.56,89,0
1428,811.98,90,0
1429,812.40,91,0
1430,812.82,91,0
1431,813.25,92,0
1432,813.67,92,0
1433,814.10,93,0
1434,814.54,93,0
1435,814.97,94,0
1436,815.41,94,0
1437,815.85,95,0
1438,816.29,97,0
1439,816.74,97,12
1440,817.21,103,11
1441,817.69,105,11
1442,818.17,99,12
1443,818.63,99,0
1444,819.09,100,0
1445,819.55,100,21
1446,820.02,100,21
1447,820.48,100,21
1448,820.95,100,21
1449,821.41,99,21
1450,821.87,99,21
1451,822.33,98,21
1452,822.78,98,21
1453,823.24,97,21
1454,823.69,97,21
1455,824.14,96,21
1456,824.58,95,21
1457,825.02,95,0
1458,825.46,93,0
1459,825.89,93,0
1460,826.32,92,0
1461,826.75,92,0
1462,827.17,91,0
1463,827.60,91,0
1464,828.02,90,12
1465,828.43,90,11
1466,828.85,89,11
1467,829.26,89,11
1468,829.68,88,11
1469,830.08,86,12
1470,830.48,86,12
1471,830.87,84,12
1472,831.27,84,12
1473,831.65,83,12
1474,832.04,82,12
1475,832.42,82,12
1476,832.79,80,12
1477,833.17,80,12
1478,833.54,79,12
1479,833.90,79,12
1480,834.27,79,12
1481,834.64,79,12
1482,835.01,80,11
1483,835.37,77,12
1484,835.73,77,0
1485,836.08,76,0
1486,836.44,76,0
1487,836.79,76,0
1488,837.14,76,0
1489,837.50,75,0
1490,837.84,75,0
1491,838.19,75,21
1492,838.54,75,21
1493,838.89,74,21
1494,839.23,74,21
1495,839.58,74,21
1496,839.92,74,21
1497,840.26,74,21
1498,840.61,74,21
1499,840.95,73,21
1500,841.29,73,21
1501,841.63,73,21
1502,841.97,73,21
1503,842.31,73,21
1504,842.64,73,21
1505,842.98,73,21
1506,843.32,72,21
1507,843.66,72,21
1508,843.99,72,21
1509,844.33,72,21
1510,844.66,72,21
1511,844.99,72,21
1512,845.33,72,21
1513,845.66,72,21
1514,846.00,72,21
1515,846.33,72,21
1516,846.67,72,21
1517,847.00,72,21
1518,847.34,72,21
1519,847.67,72,21
1520,848.01,72,21
1521,848.34,72,21
1522,848.68,72,21
1523,849.01,72,21
1524,849.34,72,21
1525,849.68,72,21
1526,850.01,72,21
1527,850.35,72,21
1528,850.68,72,21
1529,851.02,72,21
1530,851.35,72,21
1531,851.69,72,21
1532,852.02,72,21
1533,852.36,73,21
1534,852.70,73,21
1535,853.04,73,21
1536,853.38,73,21
1537,853.72,73,21
1538,854.05,73,21
1539,854.39,73,21
1540,854.73,73,21
1541,855.07,73,21
1542,855.41,74,21
1543,855.76,74,21
1544,856.10,74,21
1545,856.45,75,21
1546,856.80,75,21
1547,857.15,75,21
1548,857.49,75,21
1549,857.84,75,21
1550,858.19,75,21
1551,858.54,76,21
1552,858.90,76,21
1553,859.25,76,21
1554,859.60,77,21
1555,859.96,77,21
1556,860.32,77,21
1557,860.68,77,21
1558,861.04,77,21
1559,861.39,77,21
1560,861.75,77,21
1561,862.11,77,21
1562,862.47,77,21
1563,862.82,77,21
1564,863.18,77,21
1565,863.54,77,21
1566,863.90,77,21
1567,864.26,77,21
1568,864.61,77,0
1569,864.97,77,0
1570,865.33,77,0
1571,865.69,77,0
1572,866.05,77,0
1573,866.40,77,0
1574,866.76,77,0
1575,867.12,77,12
1576,867.48,78,12
1577,867.83,72,12
1578,868.18,78,12
1579,868.52,71,11
1580,868.87,77,11
1581,869.23,79,12
1582,869.60,79,0
1583,869.96,79,0
1584,870.33,79,12
1585,870.70,79,12
1586,871.07,79,12
1587,871.43,79,21
1588,871.80,79,21
1589,872.17,79,21
1590,872.53,79,21
1591,872.90,79,12
1592,873.27,79,12
1593,873.64,79,12
1594,874.00,79,12
1595,874.37,79,12
1596,874.74,79,12
1597,875.10,79,0
1598,875.47,79,12
1599,875.84,78,11
1600,876.18,72,11
1601,876.52,72,11
1602,876.85,72,11
1603,877.20,77,12
1604,877.56,77,0
1605,877.92,77,0
1606,878.27,77,0
1607,878.63,76,0
1608,878.98,76,0
1609,879.34,76,0
1610,879.69,76,0
1611,880.04,76,21
1612,880.39,75,21
1613,880.74,75,21
1614,881.09,75,21
1615,881.44,75,21
1616,881.79,75,21
1617,882.13,74,21
1618,882.48,74,21
1619,882.82,74,21
1620,883.17,74,21
1621,883.51,74,21
1622,883.85,74,21
1623,884.19,73,21
1624,884.53,73,21
1625,884.87,73,21
1626,885.21,73,21
1627,885.55,73,21
1628,885.89,72,21
1629,886.22,72,21
1630,886.56,72,21
1631,886.89,72,21
1632,887.23,72,21
1633,887.56,72,21
1634,887.89,71,21
1635,888.22,71,21
1636,888.55,71,21
1637,888.88,71,21
1638,889.21,71,21
1639,889.54,70,21
1640,889.87,70,21
1641,890.19,70,21
1642,890.52,70,21
1643,890.84,70,21
1644,891.17,69,21
1645,891.49,69,21
1646,891.81,69,21
1647,892.13,69,21
1648,892.45,69,21
1649,892.77,69,21
1650,893.09,69,21
1651,893.41,69,21
