# RaceVideoToLog\n# video_hash=94ac7e06b58914e7, video=test4.mp4\n# roi=862,946,957,1004, format=km/h\n# max_speed=400.0, max_accel=75.0, manual_anchor=1\n1.73,0.00,0.00,0
14.60,571.42,219.00,2
14.67,575.47,219.00,2
14.73,579.53,219.00,2
14.80,583.58,219.00,2
14.87,587.64,219.00,2
14.93,591.69,219.00,2
15.00,595.75,219.00,2
15.07,599.81,219.00,2
15.13,603.87,220.00,2
15.20,607.94,220.00,2
15.27,612.02,220.00,2
15.33,616.09,220.00,2
15.40,620.17,220.00,2
15.47,624.24,220.00,2
15.53,628.30,218.00,1
15.60,632.35,220.00,0
15.67,636.59,238.00,0
15.73,641.29,269.00,0
15.80,646.34,277.00,2
15.87,651.46,276.00,2
15.93,656.56,274.00,2
16.00,661.63,274.00,2
16.07,666.69,273.00,2
16.13,671.75,273.00,2
16.20,676.81,273.00,2
16.27,681.85,272.00,2
16.33,686.88,271.00,2
16.40,691.90,271.00,2
16.47,696.90,269.00,2
16.53,701.87,268.00,2
16.60,706.81,265.00,2
16.67,711.68,262.00,0
16.73,716.68,277.00,0
16.80,721.85,282.00,2
16.87,727.07,282.00,2
16.93,732.29,281.00,2
17.00,737.49,281.00,2
17.07,742.68,280.00,2
17.13,747.86,279.00,2
17.20,753.03,279.00,2
17.27,758.18,278.00,2
17.33,763.32,277.00,2
17.40,768.44,276.00,2
17.47,773.55,275.00,2
17.53,778.62,273.00,2
17.60,783.68,273.00,2
17.67,788.71,271.00,2
17.73,793.72,270.00,2
17.80,798.70,268.00,2
17.87,803.66,267.00,2
17.93,808.58,265.00,2
18.00,813.48,264.00,2
18.07,818.35,262.00,2
18.13,823.18,260.00,2
18.20,828.00,260.00,2
18.27,832.80,258.00,2
18.33,837.28,226.00,0
18.40,841.56,236.00,0
18.47,845.99,243.00,2
18.53,850.47,241.00,2
18.60,854.93,240.00,2
18.67,859.36,239.00,2
18.73,863.78,238.00,2
18.80,868.18,237.00,2
18.87,872.56,237.00,2
18.93,876.94,236.00,2
19.00,881.31,236.00,2
19.07,885.68,235.00,2
19.13,890.02,234.00,2
19.20,894.33,232.00,2
19.27,898.62,231.00,0
19.33,902.96,238.00,2
19.40,907.38,239.00,2
19.47,911.80,238.00,2
19.53,916.18,236.00,2
19.60,920.55,235.00,2
19.67,924.89,234.00,2
19.73,929.20,232.00,2
19.80,933.50,232.00,2
19.87,937.78,230.00,2
19.93,942.02,228.00,2
20.00,946.23,227.00,2
20.07,950.42,225.00,2
20.13,954.56,223.00,2
20.20,958.68,222.00,2
20.27,962.73,215.00,0
20.33,966.66,209.00,0
20.40,970.52,208.00,2
20.47,974.36,207.00,2
20.53,978.17,204.00,2
20.60,981.94,204.00,2
20.67,985.70,202.00,2
20.73,989.43,200.00,2
20.80,993.11,198.00,2
20.87,996.77,197.00,2
20.93,1000.40,195.00,2
21.00,1004.00,194.00,2
21.07,1007.58,193.00,2
21.13,1011.14,191.00,2
21.20,1014.67,190.00,2
21.27,1018.18,189.00,2
21.33,1021.67,188.00,2
21.40,1025.15,188.00,2
21.47,1028.63,188.00,2
21.53,1032.11,188.00,2
21.60,1035.58,187.00,2
21.67,1039.05,187.00,2
21.73,1042.52,188.00,2
21.80,1046.00,188.00,2
21.87,1049.49,189.00,2
21.93,1053.00,190.00,2
22.00,1056.54,192.00,2
22.07,1060.09,192.00,2
22.13,1063.67,194.00,2
22.20,1067.27,195.00,2
22.27,1070.88,195.00,2
22.33,1074.49,195.00,2
22.40,1078.11,196.00,2
22.47,1081.74,196.00,2
22.53,1085.38,197.00,2
22.60,1089.03,197.00,2
22.67,1092.68,198.00,2
22.73,1096.36,199.00,2
22.80,1100.04,198.00,2
22.87,1103.71,199.00,2
22.93,1107.41,200.00,2
23.00,1111.11,200.00,2
23.07,1114.82,201.00,2
23.13,1118.56,202.00,2
23.20,1122.31,203.00,2
23.27,1126.07,204.00,2
23.33,1129.86,205.00,2
23.40,1133.67,206.00,2
23.47,1137.49,207.00,2
23.53,1141.34,209.00,2
23.60,1145.21,209.00,2
23.67,1149.10,211.00,2
23.73,1153.02,212.00,2
23.80,1156.95,213.00,2
23.87,1160.91,214.00,2
23.93,1164.88,215.00,2
24.00,1168.87,216.00,2
24.07,1172.88,217.00,2
24.13,1176.91,218.00,2
24.20,1180.94,218.00,2
24.27,1184.99,219.00,2
